"name","results","se","(lower","upper)","missInfo","race","percentile"
"3:networth.0.67",173834,19538.7404667854,135072.574812897,212595.425187103,"21 %","Latino",0.67
"1:networth.0.68",613306,33390.0804586207,536829.173129166,689782.826870834,"75 %","white",0.68
"2:networth.0.68",146654,9716.36544998167,127030.083178728,166277.916821272,"34 %","Black",0.68
"3:networth.0.68",185110,18120.0660106974,149073.907499068,221146.092500932,"24 %","Latino",0.68
"1:networth.0.69",646120,34751.0299408759,565974.891744236,726265.108255764,"76 %","white",0.69
"2:networth.0.69",152239,8852.16494644531,134817.382410248,169660.617589752,"12 %","Black",0.69
"3:networth.0.69",193264,13660.3340454102,166453.745591814,220074.254408186,"7 %","Latino",0.69
"1:networth.0.7",677624,35547.0618447839,596932.778628084,758315.221371916,"73 %","white",0.7
"2:networth.0.7",160350,12316.9013878123,135152.133919083,185547.866080917,"41 %","Black",0.7
"3:networth.0.7",197700,11009.4201735153,176067.807619018,219332.192380982,"9 %","Latino",0.7
"1:networth.0.71",711136,40064.3897329908,618014.1272016,804257.8727984,"77 %","white",0.71
"2:networth.0.71",166820,13750.3400686447,139463.444162112,194176.555837888,"24 %","Black",0.71
"3:networth.0.71",202120,9816.96719723279,182751.581067978,221488.418932022,"16 %","Latino",0.71
"1:networth.0.72",756833,45765.6624316482,652661.893541851,861004.106458149,"73 %","white",0.72
"2:networth.0.72",173778,16068.8933839569,142001.680224887,205554.319775113,"18 %","Black",0.72
"3:networth.0.72",205442,10234.8426317538,185325.341042147,225558.658957853,"10 %","Latino",0.72
"1:networth.0.73",800052,46028.7424846457,692579.784131314,907524.215868686,"78 %","white",0.73
"2:networth.0.73",185674,20883.5003901079,143991.087455238,227356.912544762,"27 %","Black",0.73
"3:networth.0.73",209084,12606.5889252755,184275.881527196,233892.118472804,"12 %","Latino",0.73
"1:networth.0.74",844086,55523.4037828662,707505.60598126,980666.39401874,"86 %","white",0.74
"2:networth.0.74",201910,22212.3173265058,158227.332521475,245592.667478525,"11 %","Black",0.74
"3:networth.0.74",216822,14661.0693714357,188073.062587167,245570.937412833,"4 %","Latino",0.74
"1:networth.0.75",889642,60115.4137616242,741777.639447322,1037506.36055268,"86 %","white",0.75
"2:networth.0.75",212722,24430.6661363462,164673.312223201,260770.687776799,"11 %","Black",0.75
"3:networth.0.75",224910.4,17088.1457048499,191381.967049048,258438.832950952,"6 %","Latino",0.75
"1:networth.0.76",939582,58269.3393008887,802724.327355804,1076439.6726442,"79 %","white",0.76
"2:networth.0.76",233398,24665.3947272051,184946.513980881,281849.486019119,"9 %","Black",0.76
"3:networth.0.76",233724,19334.5416573351,195742.413333695,271705.586666305,"9 %","Latino",0.76
"1:networth.0.77",988506,61625.2841162003,834670.576996594,1142341.42300341,"88 %","white",0.77
"2:networth.0.77",248118,23918.9784464927,201174.58729582,295061.41270418,"7 %","Black",0.77
"3:networth.0.77",244638,20599.8746957416,204201.294478026,285074.705521974,"7 %","Latino",0.77
"1:networth.0.78",1040924,75393.476906691,855081.531832303,1226766.4681677,"87 %","white",0.78
"2:networth.0.78",263165,25753.1285187904,211908.735374151,314421.264625849,"24 %","Black",0.78
"3:networth.0.78",255288,21728.6632304274,212665.232508322,297910.767491678,"5 %","Latino",0.78
"1:networth.0.79",1103074,78582.67399218,917308.025155576,1288839.97484442,"80 %","white",0.79
"2:networth.0.79",280204,25356.4307755252,229696.410404319,330711.589595681,"25 %","Black",0.79
"3:networth.0.79",265400,23544.4761084244,219217.757332041,311582.242667959,"5 %","Latino",0.79
"1:networth.0.8",1180102,67336.1823115868,1028563.39548007,1331640.60451993,"71 %","white",0.8
"2:networth.0.8",296578,22006.2276400962,253249.157255727,339906.842744273,"13 %","Black",0.8
"3:networth.0.8",277924,27967.7267887681,222906.518332007,332941.481667993,"12 %","Latino",0.8
"1:networth.0.81",1243372,62373.2842946607,1096403.7540554,1390340.2459446,"80 %","white",0.81
"2:networth.0.81",305377,20450.9278031761,265204.813691117,345549.186308883,"9 %","Black",0.81
"3:networth.0.81",292318,38801.1921170613,213886.530608882,370749.469391118,"35 %","Latino",0.81
"1:networth.0.82",1298040,66261.0655493787,1132521.4183243,1463558.5816757,"89 %","white",0.82
"2:networth.0.82",317508,26277.2465716961,265044.682590358,369971.317409642,"27 %","Black",0.82
"3:networth.0.82",313126,46867.7838289336,219421.476481675,406830.523518325,"28 %","Latino",0.82
"1:networth.0.83",1369520,76904.2022094459,1175491.13989318,1563548.86010682,"90 %","white",0.83
