"name","results","se","(lower","upper)","missInfo","race","percentile"
"2:income.0.66",66584.1683366733,3913.86701687072,58621.9579953003,74546.3786780464,"38 %","Black",0.66
"3:income.0.66",68745.991983968,4682.66446549387,59548.9105273225,77943.0734406134,"9 %","Latino",0.66
"1:income.0.67",118251.753507014,2252.32017235051,113771.026315733,122732.480698295,"24 %","white",0.67
"2:income.0.67",69610.7214428858,3839.18469685807,62018.7210403463,77202.7218454252,"18 %","Black",0.67
"3:income.0.67",70907.8156312625,4637.3850824258,61811.220334755,80004.4109277701,"5 %","Latino",0.67
"1:income.0.68",120629.759519038,2355.76141340985,115856.894122396,125402.62491568,"36 %","white",0.68
"2:income.0.68",72637.2745490982,4046.7691772779,64575.4476406909,80699.1014575055,"25 %","Black",0.68
"3:income.0.68",73285.8216432866,4466.97918151674,64530.1801231321,82041.463163441,"1 %","Latino",0.68
"1:income.0.69",123872.49498998,2834.50372886873,118032.706334948,129712.283645012,"44 %","white",0.69
"2:income.0.69",73718.1863727455,3579.92327555142,66627.4689735533,80808.9037719377,"20 %","Black",0.69
"3:income.0.69",75663.8276553106,4409.40882222756,67021.5451706314,84306.1101399898,"0 %","Latino",0.69
"1:income.0.7",126618.011022044,2759.0633712757,120991.411488393,132244.610555695,"40 %","white",0.7
"2:income.0.7",75663.8276553106,2998.73299849865,69786.4189790015,81541.2363316198,"0 %","Black",0.7
"3:income.0.7",75663.8276553106,4562.79642283072,66720.9109977742,84606.744312847,"0 %","Latino",0.7
"1:income.0.71",129277.054108216,2405.69510757716,124507.784187648,134046.324028785,"21 %","white",0.71
"2:income.0.71",76096.1923847695,3196.14928896461,69808.9205868055,82383.4641827336,"12 %","Black",0.71
"3:income.0.71",79122.745490982,5237.49826407375,68797.9470432667,89447.5439386973,"15 %","Latino",0.71
"1:income.0.72",131871.24248497,2961.44483934971,125462.039138825,138280.445831115,"62 %","white",0.72
"2:income.0.72",78258.0160320641,3483.315061384,71281.8119447899,85234.2201193384,"29 %","Black",0.72
"3:income.0.72",81716.9338677355,5614.2091796069,70691.8997711612,92741.9679643098,"8 %","Latino",0.72
"1:income.0.73",135546.342685371,3407.5866126903,128531.025058469,142561.660312273,"44 %","white",0.73
"2:income.0.73",80852.2044088176,2846.23943303123,75271.6544772416,86432.7543403937,"4 %","Black",0.73
"3:income.0.73",84959.6693386774,5920.28465416466,73352.5278703273,96566.8108070274,"3 %","Latino",0.73
"1:income.0.74",139869.98997996,3871.69689068128,131789.735941687,147950.244018233,"50 %","white",0.74
"2:income.0.74",81933.1162324649,2642.18206898616,76752.0051913622,87114.2272735677,"4 %","Black",0.74
"3:income.0.74",87553.8577154309,6257.86604884581,75245.7037669877,99862.011663874,"11 %","Latino",0.74
